<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
33-16:C08L7ACXX:6:250047984	-0.015729645	-0.031943254	-3.6563797E-4	0.0026882477	-0.01678195
38-11:MRG:2:250040073	-0.05466567	-0.029255865	0.026836477	0.012741741	0.0019387016
4226:MRG:2:250040088	-0.027382808	-0.024803545	0.0017153313	0.0050222743	-0.004006116
4722:MRG:2:250040158	-0.026264122	-0.07265065	-0.12050752	0.016937751	0.004364401
A188:MRG:2:250040019	-0.017046528	-0.040888514	-0.016187815	-0.0012338551	-0.004027025
A214N:MRG:2:250040084	-0.06757958	0.089528665	0.008943101	0.021676017	-0.1393073
A239:C08L7ACXX:6:250047930	-0.044695195	-0.02966401	0.038806356	0.03739573	0.0019587495
A272:C08L7ACXX:6:250047954	0.02481069	0.010634862	-0.027563179	-0.0024278276	0.00484409
A441-5:MRG:2:250040026	0.012083509	-0.01136667	-0.010000051	-7.6904445E-4	-1.9005645E-4
A554:MRG:2:250039788	-0.036611747	-0.03892835	0.03298757	0.0025096608	0.018938184
A556:MRG:2:250040185	-0.043363776	-0.029010002	0.021491298	0.028312434	0.012300242
A6:MRG:2:250040034	0.09824505	0.032793716	-0.004223106	7.057911E-4	0.0010344412
A619:C08L7ACXX:6:250047940	-0.052541032	-0.0712887	0.070341654	0.086445466	0.04757633
A632:C08L7ACXX:6:250047950	-0.10793965	0.0898973	0.0064989096	0.015487291	-0.14816646
A634:MRG:2:250040129	-0.10172757	0.087617666	0.007291943	0.017597662	-0.14254962
A635:MRG:2:250040198	-0.1052442	0.08967939	0.010273266	0.015286297	-0.14140545
A641:MRG:2:250040046	-0.081299685	0.049145285	0.0071983556	0.024207644	-0.12602814
A654:MRG:2:250039834	-0.03246501	-0.043800876	0.045335796	0.0167376	0.010892446
A659:C08L7ACXX:6:250048004	-0.04525742	-0.027807267	0.04129379	0.044461854	-0.006980412
A661:MRG:2:250040149	-0.025211127	-0.030968096	0.0021454496	0.015185662	-0.0044665844
A679:MRG:2:250040001	-0.12068485	0.123554595	-0.04098121	-0.027969122	0.07289897
A680:C08L7ACXX:6:250047931	-0.13066913	0.13790804	-0.03241761	-0.02394658	0.06434309
A682:MRG:2:250039782	-0.043927442	-0.04351738	0.036379866	-0.09700021	-0.0018828636
Ab28A:MRG:2:250040159	-0.015894508	-0.026344946	0.0155339	-0.007368449	0.007913521
Ames26808:MRG:8:250040784	-0.067905195	0.009327697	0.017052213	0.011830193	0.01738036
Ames27128:81FE8ABXX:2:250032031	0.098124206	0.025447998	-9.646391E-4	-0.0052658026	0.006060208
Ames28290:81FENABXX:3:250034857	-0.028515238	-0.04067527	-0.00665248	0.011879035	-0.01905463
Ames28291:MRG:2:250042542	0.030163292	0.053748146	-0.001996609	0.00897614	-0.07072389
B10:C08L7ACXX:6:250047991	-0.094975606	0.06864515	0.016863136	0.016376445	-0.021001967
B103:MRG:8:250040806	-0.05847294	-0.0047340933	0.032082297	-0.005168915	-0.014106148
B104:C08L7ACXX:6:250047938	-0.10708628	0.09597123	-0.0015736207	-0.00460126	0.0082058115
B105:MRG:2:250040023	-0.082694516	0.052508585	0.0013709345	0.0040034233	0.013200162
B109:MRG:2:250039749	-0.12643778	0.1330898	-0.03086685	-0.017526941	0.04807278
B115:MRG:2:250040029	-0.029529024	-0.038164366	0.0017159666	0.0043524387	-0.0020343624
B14A:MRG:2:250040044	-0.11930407	0.11344966	0.009608913	0.017911412	-0.14218132
B164:MRG:2:250040176	-0.047150876	-0.0065975282	0.013645936	0.016647726	0.0013025525
B2-good:MRG:2:250040187	-0.042439967	-0.010953053	0.029013874	0.010123837	-0.00365509
B37:MRG:2:250040081	-0.09747313	0.06373185	-0.0038332492	-5.855872E-4	0.063853346
B46:MRG:2:250040209	-0.0712931	0.001650646	0.042602982	0.044192046	-0.023126857
B52:MRG:2:250040039	-0.050214484	-0.021397853	0.042995084	0.0060441806	0.026192836
