#SampleID	BarcodeSequence	LinkerPrimerSequence	tissue_date	time	rna_plate	dna_plate	row	col	plate_row	plate_col	collector	date	subpop	Description
LMAD.8.14A0005			LMAD_8	day	KAK_RNA_7	KAK_7_8	A	1	KAK_7_8.A	KAK_7_8.1	Karl Jeremy	8082014	mixed	CO255
LMAD.8.14A0007			LMAD_8	day	KAK_RNA_7	KAK_7_8	B	1	KAK_7_8.B	KAK_7_8.1	Karl Jeremy	8082014	nss	CM7
LMAD.8.14A0009			LMAD_8	day	KAK_RNA_7	KAK_7_8	C	1	KAK_7_8.C	KAK_7_8.1	Karl Jeremy	8082014	mixed	F7
LMAD.8.14A0011			LMAD_8	day	KAK_RNA_7	KAK_7_8	D	1	KAK_7_8.D	KAK_7_8.1	Karl Jeremy	8082014	mixed	ND246
LMAD.8.14A0013			LMAD_8	day	KAK_RNA_7	KAK_7_8	E	1	KAK_7_8.E	KAK_7_8.1	Karl Jeremy	8082014	nss	A654
LMAD.8.14A0015			LMAD_8	day	KAK_RNA_7	KAK_7_8	F	1	KAK_7_8.F	KAK_7_8.1	Karl Jeremy	8082014	nss	CO106
LMAD.8.14A0017			LMAD_8	day	KAK_RNA_7	KAK_7_8	G	1	KAK_7_8.G	KAK_7_8.1	Karl Jeremy	8082014	nss	W182B
LMAD.8.14A0019			LMAD_8	day	KAK_RNA_7	KAK_7_8	H	1	KAK_7_8.H	KAK_7_8.1	Karl Jeremy	8082014	mixed	EP1
LMAD.8.14A0021			LMAD_8	day	KAK_RNA_7	KAK_7_8	A	2	KAK_7_8.A	KAK_7_8.2	Karl Jeremy	8082014	nss	A188
LMAD.8.14A0023			LMAD_8	day	KAK_RNA_7	KAK_7_8	B	2	KAK_7_8.B	KAK_7_8.2	Karl Jeremy	8082014	nss	A659
LMAD.8.14A0025			LMAD_8	day	KAK_RNA_7	KAK_7_8	C	2	KAK_7_8.C	KAK_7_8.2	Karl Jeremy	8082014	nss	CMV3
LMAD.8.14A0027			LMAD_8	day	KAK_RNA_7	KAK_7_8	D	2	KAK_7_8.D	KAK_7_8.2	Karl Jeremy	8082014	nss	CO125
LMAD.8.14A0030			LMAD_8	day	KAK_RNA_7	KAK_7_8	E	2	KAK_7_8.E	KAK_7_8.2	Karl Jeremy	8082014	sweet	P39
LMAD.8.14A0031			LMAD_8	day	KAK_RNA_7	KAK_7_8	F	2	KAK_7_8.F	KAK_7_8.2	Karl Jeremy	8082014	nss	A556
LMAD.8.14A0033			LMAD_8	day	KAK_RNA_7	KAK_7_8	G	2	KAK_7_8.G	KAK_7_8.2	Karl Jeremy	8082014	nss	MEF156-55-2
LMAD.8.14A0035			LMAD_8	day	KAK_RNA_7	KAK_7_8	H	2	KAK_7_8.H	KAK_7_8.2	Karl Jeremy	8082014	nss	A554
LMAD.8.14A0037			LMAD_8	day	KAK_RNA_7	KAK_7_8	A	3	KAK_7_8.A	KAK_7_8.3	Karl Jeremy	8082014	nss	C49A
LMAD.8.14A0039			LMAD_8	day	KAK_RNA_7	KAK_7_8	B	3	KAK_7_8.B	KAK_7_8.3	Karl Jeremy	8082014	ss	CM105
LMAD.8.14A0043			LMAD_8	day	KAK_RNA_7	KAK_7_8	C	3	KAK_7_8.C	KAK_7_8.3	Karl Jeremy	8082014	mixed	W117HT
LMAD.8.14A0045			LMAD_8	day	KAK_RNA_7	KAK_7_8	D	3	KAK_7_8.D	KAK_7_8.3	Karl Jeremy	8082014	nss	A661
LMAD.8.14A0047			LMAD_8	day	KAK_RNA_7	KAK_7_8	E	3	KAK_7_8.E	KAK_7_8.3	Karl Jeremy	8082014	popcorn	I29
LMAD.8.14A0049			LMAD_8	day	KAK_RNA_7	KAK_7_8	F	3	KAK_7_8.F	KAK_7_8.3	Karl Jeremy	8082014	sweet	IA2132
LMAD.8.14A0051			LMAD_8	day	KAK_RNA_7	KAK_7_8	G	3	KAK_7_8.G	KAK_7_8.3	Karl Jeremy	8082014	nss	SD44
LMAD.8.14A0053			LMAD_8	day	KAK_RNA_7	KAK_7_8	H	3	KAK_7_8.H	KAK_7_8.3	Karl Jeremy	8082014	nss	MS1334
LMAD.8.14A0055			LMAD_8	day	KAK_RNA_7	KAK_7_8	A	4	KAK_7_8.A	KAK_7_8.4	Karl Jeremy	8082014	ss	N192
LMAD.8.14A0057			LMAD_8	day	KAK_RNA_7	KAK_7_8	B	4	KAK_7_8.B	KAK_7_8.4	Karl Jeremy	8082014	sweet	P39
LMAD.8.14A0059			LMAD_8	day	KAK_RNA_7	KAK_7_8	C	4	KAK_7_8.C	KAK_7_8.4	Karl Jeremy	8082014	ss	B76
LMAD.8.14A0061			LMAD_8	day	KAK_RNA_7	KAK_7_8	D	4	KAK_7_8.D	KAK_7_8.4	Karl Jeremy	8082014	ss	CM174
LMAD.8.14A0063			LMAD_8	day	KAK_RNA_7	KAK_7_8	E	4	KAK_7_8.E	KAK_7_8.4	Karl Jeremy	8082014	nss	A619
LMAD.8.14A0065			LMAD_8	day	KAK_RNA_7	KAK_7_8	F	4	KAK_7_8.F	KAK_7_8.4	Karl Jeremy	8082014	nss	H99
LMAD.8.14A0067			LMAD_8	day	KAK_RNA_7	KAK_7_8	G	4	KAK_7_8.G	KAK_7_8.4	Karl Jeremy	8082014	nss	R168
LMAD.8.14A0069			LMAD_8	day	KAK_RNA_7	KAK_7_8	H	4	KAK_7_8.H	KAK_7_8.4	Karl Jeremy	8082014	nss	W153R
LMAD.8.14A0071			LMAD_8	day	KAK_RNA_7	KAK_7_8	A	5	KAK_7_8.A	KAK_7_8.5	Karl Jeremy	8082014	nss	MS71
LMAD.8.14A0073			LMAD_8	day	KAK_RNA_7	KAK_7_8	B	5	KAK_7_8.B	KAK_7_8.5	Karl Jeremy	8082014	nss	Oh43
LMAD.8.14A0075			LMAD_8	day	KAK_RNA_7	KAK_7_8	C	5	KAK_7_8.C	KAK_7_8.5	Karl Jeremy	8082014	sweet	Ia5125
LMAD.8.14A0077			LMAD_8	day	KAK_RNA_7	KAK_7_8	D	5	KAK_7_8.D	KAK_7_8.5	Karl Jeremy	8082014	sweet	Il14H
LMAD.8.14A0081			LMAD_8	day	KAK_RNA_7	KAK_7_8	E	5	KAK_7_8.E	KAK_7_8.5	Karl Jeremy	8082014	nss	C123
LMAD.8.14A0083			LMAD_8	day	KAK_RNA_7	KAK_7_8	F	5	KAK_7_8.F	KAK_7_8.5	Karl Jeremy	8082014	mixed	A641
LMAD.8.14ABLANK.KAK7.G5			LMAD_8	day	KAK_RNA_7	KAK_7_8	G	5	KAK_7_8.G	KAK_7_8.5	Karl Jeremy	8082014	NA	NA
LMAD.8.14A0085			LMAD_8	day	KAK_RNA_7	KAK_7_8	H	5	KAK_7_8.H	KAK_7_8.5	Karl Jeremy	8082014	ss	A679
LMAD.8.14A0089			LMAD_8	day	KAK_RNA_7	KAK_7_8	A	6	KAK_7_8.A	KAK_7_8.6	Shu Sara	8082014	nss	B103
LMAD.8.14A0091			LMAD_8	day	KAK_RNA_7	KAK_7_8	B	6	KAK_7_8.B	KAK_7_8.6	Shu Sara	8082014	nss	A682
LMAD.8.14A0095			LMAD_8	day	KAK_RNA_7	KAK_7_8	C	6	KAK_7_8.C	KAK_7_8.6	Shu Sara	8082014	nss	CH701-30
LMAD.8.14A0097			LMAD_8	day	KAK_RNA_7	KAK_7_8	D	6	KAK_7_8.D	KAK_7_8.6	Shu Sara	8082014	nss	MS153
LMAD.8.14A0099			LMAD_8	day	KAK_RNA_7	KAK_7_8	E	6	KAK_7_8.E	KAK_7_8.6	Shu Sara	8082014	ts	A272
LMAD.8.14A0101			LMAD_8	day	KAK_RNA_7	KAK_7_8	F	6	KAK_7_8.F	KAK_7_8.6	Shu Sara	8082014	ss	A632
LMAD.8.14A0103			LMAD_8	day	KAK_RNA_7	KAK_7_8	G	6	KAK_7_8.G	KAK_7_8.6	Shu Sara	8082014	mixed	Mo47
LMAD.8.14A0105			LMAD_8	day	KAK_RNA_7	KAK_7_8	H	6	KAK_7_8.H	KAK_7_8.6	Shu Sara	8082014	nss	Va59
LMAD.8.14A0111			LMAD_8	day	KAK_RNA_8	KAK_7_8	A	7	KAK_7_8.A	KAK_7_8.7	Shu Sara	8082014	ss	A635
LMAD.8.14A0113			LMAD_8	day	KAK_RNA_8	KAK_7_8	B	7	KAK_7_8.B	KAK_7_8.7	Shu Sara	8082014	ss	B73
LMAD.8.14ABLANK.KAK8.C7			LMAD_8	day	KAK_RNA_8	KAK_7_8	C	7	KAK_7_8.C	KAK_7_8.7	Shu Sara	8082014	NA	NA
LMAD.8.14A0114			LMAD_8	day	KAK_RNA_8	KAK_7_8	D	7	KAK_7_8.D	KAK_7_8.7	Shu Sara	8082014	nss	MS71
LMAD.8.14A0115			LMAD_8	day	KAK_RNA_8	KAK_7_8	E	7	KAK_7_8.E	KAK_7_8.7	Shu Sara	8082014	mixed	H105W
LMAD.8.14A0117			LMAD_8	day	KAK_RNA_8	KAK_7_8	F	7	KAK_7_8.F	KAK_7_8.7	Shu Sara	8082014	nss	M14
LMAD.8.14A0119			LMAD_8	day	KAK_RNA_8	KAK_7_8	G	7	KAK_7_8.G	KAK_7_8.7	Shu Sara	8082014	nss	Va102
